model,precision,recall,f1,onto_conf,rel_halluc,sub_halluc,obj_halluc,num_triples,num_filtered_triples,query_time,error
deepseek-r1,0.54,0.46,0.5,1.0,0.0,0.07,0.07,56.0,54.0,228.45s,
mistral-large,0.6,0.44,0.51,1.0,0.0,0.18,0.2,49.0,47.0,15.94s,
llama-3.3,0.59,0.46,0.52,1.0,0.0,0.11,0.05,51.0,49.0,4.56s,

