model,precision,recall,f1,onto_conf,rel_halluc,sub_halluc,obj_halluc,num_triples,num_filtered_triples,query_time,error
deepseek-r1,0.45,0.34,0.39,1.0,0.0,0.09,0.03,46.0,44.0,150.00s,
mistral-large,0.53,0.41,0.46,1.0,0.0,0.25,0.08,49.0,45.0,13.36s,
llama-3.3,0.55,0.39,0.46,1.0,0.0,0.08,0.08,46.0,42.0,4.20s,
